perk,"
        
        
        
        
        
        
        
        
    ",category,Fun/Entertainment,vendor,"Birthday in a Box",description,"15% off entire order.  Use code BB926Z.",eligible,SHEAR,contact,,phone,,email,,url,birthdayinabox.com
perk,"
        
        
        
        
        
        
        
        
    ",category,Medical,vendor,CPRCertified.com,description,"50% off online CPR certification training.  Use code ""STUDENT50"".  Maximum discount is $50.",eligible,S,contact,,phone,,email,,url,cprcertified.com
perk,"
        
        
        
        
        
        
        
        
    ",category,Safety/Protection,vendor,"A1 Security Cameras",description,"10% off professional S3-brand cameras and security systems with code UNMPROMO and UNM email address",eligible,SHEA,contact,,phone,,email,,url,a1securitycameras.com
perk,"
        
        
        
        
        
        
        
        
    ",category,Automotive,vendor,Pop-A-Lock,description,"$5 off locksmith service.  24/7",eligible,SHE,contact,,phone,505-242-4550,email,,url,popalockabq.com
perk,"
        
        
        
        
        
        
        
        
    ",category,Food/Restaurants,vendor,"Cheese and Coffee Cafe Downtown",description,"10% off lunch with purchase of sandwich and beverage - 119 San Pasquale Ave SW only. UNM ID required.",eligible,SHEAR,contact,,phone,,email,,url,cheeseandcoffee.com
perk,"
        
        
        
        
        
        
        
        
    ",category,Medical,vendor,RespShop,description,"Use code ""lobosave"" for 10% off all items",eligible,SHEAR,contact,,phone,,email,,url,respshop.com
perk,"
        
        
        
        
        
        
        
        
    ",category,Safety-Protection,vendor,"Protect America",eligible,A,description,"Up to 25% off home security!  Mention promo code ""LoboRewards"" while getting a home security system",contact,"Zane Schwarzlose",phone,800-951-5190,email,zaneschwarzlose@protectamerica.com,url,protectamerica.com
perk,"
                 
        
        
        
        
        
        
        
    ",category,"Healing -- Alternative",vendor,"Christian Raphael Hypnotherapy",description,"$99 sessions (regularly $120)",eligible,SHE,contact,,phone,,email,,url,christianraphaelhypnotherapy.com
perk,"
                 
        
        
        
        
        
        
        
    ",category,Phones/Accessories,vendor,"My Trendy Phone",description,"15% off anything under $200 that is not already discounted.  Use mtpNPVR9 at checkout",eligible,SHEAR,contact,,phone,,email,,url,mytrendyphone.com
perk,"
                 
        
        
        
        
        
        
        
    ",category,Automotive,vendor,CARiD.com,description,"5% off.  Use code EDU-UNM-5 at checkout",eligible,SHE,contact,,phone,,email,,url,www.CARiD.com
perk,"
                 
        
        
        
        
        
        
        
    ",category,Insurance,vendor,"New York Life",description,"Free Custom Financial Plan",eligible,SHEAR,contact,"A. Tafoya",phone,505-514-9310,email,atafoya@ft.newyorklife.com,url,newyorklife.com
perk,"
                 
        
        
        
        
        
        
        
    ",category,Medical,vendor,"Lasik Vision Institute",description,"25% off all procedures",eligible,SHEAR,contact,,phone,"(866) 368-1336 ",email,,url,lasikvisioninstitute.com
perk,"
                 
        
        
        
        
        
        
        
    ",category,Automotive,vendor,"Galles Chevrolet Sales and Service",description,"LoboPerks Pricing.  Also 10% off all service.",eligible,SHEAR,contact,,phone,505-814-1123,email,,url,GallesChevy.com
perk,"
                 
        
        
        
        
        
        
        
    ",category,Fun/Entertainment,vendor,Rukkus,description,"10% discount.  Before purchase: must email with subject line ""loboperks"".",eligible,SHEAR,contact,,phone,,email,concierge@rukkus.com,url,rukkus.com
perk,"
                 
        
        
        
        
        
        
        
    ",category,"Services  Other",vendor,SignPlex,description,"Discounts vary per your needs.",eligible,SHEAR,contact,,phone,,email,,url,signplex.biz
perk,"
                 
        
        
        
        
        
        
        
    ",category,House/Home,vendor,"Homes By Helen",description,"Many discounts.  Contact for details.",eligible,SHEAR,contact,"Helen Hernandez",phone,505-620-0599,email,hernandez0599@msn.com,url,homesbyhelen.kwrealty.com
perk,"
                 
        
        
        
        
        
        
        
    ",category,Automotive,vendor,"Lobo Glassworks",description,"Various discounts.  Call for details and appointment.",eligible,SHEAR,contact,,phone,505-252-5566,email,,url,
perk,"
                 
        
        
        
        
        
        
        
    ",category,"Online Training",vendor,"Kaplan Test Prep  Graduate Programs",description,"10% discount on all comprehensive prep courses for:  GRE  GMAT  LSAT  MCAT  DAT  OAT  PCAT.  Can't combine with national discounts.",eligible,SEA,contact,"Contact Rachel Ochoa to redeem your discount.",phone,505-870-5985,email,,url,kaptest.com
